city_name,country,wikidata_id,mayor_name,mayor_title
Lakewood,USA,Q462804,Adam A. Paul,Mayor of Lakewood
Larnaka,Cyprus,Q55099871,Andreas Vyras,Mayor of Larnaka
Lefkoniko,Cyprus,Q934563,Zena Lysandrou-Panagides,Mayor of Lefkoniko
Lejamani,Honduras,Q2148930,Francisco Mende Rodriguez,Mayor of Lejamani
Lipjan Municipality,Kosovo,Q994730,Imri Ahmeti,Mayor of Lipjan Municipality
Lisbon,Portugal,Q597,Carlos Moedas,Mayor of Lisbon
Ljubljana,Slovenia,Q437,Zoran Janković,Mayor of Ljubljana
London,UK,Q84,Sadiq Khan,Mayor of London
Los Angeles,USA,Q65,Eric Garcetti,Mayor of Los Angeles
Lubaga Division,Uganda,Q6695057,Zacchy Mberaze Mawula,Mayor of Lubaga Division
Madison,USA,Q43788,Satya Rhodes-Conway,Mayor of Madison
Mafra,Portugal,Q986419,Helder Sousa Silva,Mayor of Mafra
Makassar,Indonesia,Q14634,Mohammad Ramdhan Pomanto,Mayor of Makassar
Mandera,Kenya,Q15917979,Saleh Maalim Alio,Mayor of Mandera
Mannheim,Germany,Q2119,Peter Kurz,Lord Mayor of Mannheim
Mansakonko area,The Gambia,,Landing B. Sanneh,Mayor Sanneh of Mansakonko area
Marl,Germany,Q3813,Werner Arndt,Mayor of Marl
Matosinhos,Portugal,Q841299,Luísa Salgueiro,Mayor of Matosinhos
Mbale,Uganda,Q1015727,Mamugali Cassim,Mayor of Mbale
Michałowo,Poland,Q2364639,Marek Nazarko,Mayor of Michałowo
Milan,Italy,Q490,Giuseppe Sala,Mayor of Milan
Minneapolis,USA,Q36091,Jacob Frey,Mayor of Minneapolis
Mińsk Mazowiecki,Poland,Q648071,Marcin Jakubowski,Mayor of Mińsk Mazowiecki
Mława,Poland,Q983868,Sławomir Kowalewski,The Mayor of Mława
Monrovia,Liberia,Q3748,Jefferson T. Koijee,Mayor of Monrovia
Monterrey,Mexico,Q81033,Luis Donaldo Colosio Riojas,Mayor of Monterrey
Montevideo,Uruguay,Q1335,Carolina Cosse,Mayor of Montevideo
Montpellier,France,Q6441,Michaël Delafosse,Mayor of Montpellier
Morazan,Honduras,Q2394916,Denis Mauricio Fuentes Handal,Mayor of Morazan
Mount Vernon,USA,Q835831,Shawyn Patterson-Howard,Mayor of the Mount Vernon
Münster,Germany,Q2742,Markus Lewe,Mayor of Münster
Myrhorod,Ukraine,Q161961,Solomakha Serhii Pavlovich,Mayor of Myrhorod
Nadvirna,Ukraine,Q156820,Andreyovych Zinovii Myroslavovych,Mayor of Nadvirna
Nebbi,Uganda,,Geoffrey Ngiriker,Mayor of Nebbi
Netishyn,Ukraine,Q997371,Oleksandr Suprunyuk,Mayor of Netishyn
Neu-Ulm,Germany,Q4120,Katrin Albsteiger,Mayor of Neu-Ulm
Nezahualcóyotl,Mexico,Q3313478,Adolfo Cerqueda Rebollo,mayor of Nezahualcóyotl
Nijmegen,The Netherlands,Q47887,Hubert Bruls,Mayor of Nijmegen
Nikopol,Ukraine,Q156760,Oleksandr Saiuk,Mayor of Nikopol
Nova Kahovka,Ukraine,Q987491,Volodymyr Kovalenko,Mayor of Nova Kahovka
Nuremberg,Germany,Q2090,Marcus König,Lord Mayor of Nuremberg
Ocotepeque,Honduras,Q2182554,Israel orlando aguilar,Mayor of Ocotepeque
Oklahoma City,USA,Q34863,David Holt,Mayor of Oklahoma City
Omoa,Honduras,Q520386,Ricardo Alvarado Escobar,Mayor of Omoa
Oropoli,Honduras,Q2481144,Luis Manuel Osorio,Mayor of Oropoli
Orzhitsa,Ukraine,,Sydorenko Olena,Mayor of Orzhitsa
Palermo,Italy,Q2656,Leoluca Orlando,Mayor of Palermo
Paris,France,Q90,Anne Hidalgo,Mayor of Paris
Pavlograd,Ukraine,Q237206,Anatolii Vershyna,Mayor of Pavlograd
Pespire,Honduras,Q2602771,Hector Samuel Colindres Garcia,Mayor of Pespire
Peñalolén,Chile,Q51100,Carolina Leitao Álvarez-Salamanca,Mayor of Peñalolén
Philadelphia,USA,Q1345,James F. Kenney,Mayor of Philadelphia
Phoenix,United States,Q16556,Kate Gallego,Mayor of Phoenix
Podgorica,Montenegro,Q23564,Ivan Vuković,Mayor of Podgorica
Pologi,Ukraine,,Yurii Konovalenko,Mayor of Pologi
Portland,USA,Q6106,Ted Wheeler,Mayor of Portland
Potrerillos,Honduras,Q1644959,Carlos Noe Rivera Manzanares,Mayor of Potrerillos
Prague,Czech Republic,Q1085,Zdeněk Hřib,Mayor of Prague
Puerto Cortés,Honduras,Q673089,Maria Luisa Martell Canizales,Mayor of Puerto Cortés
Quelimane,Mozambique,Q318306,Manuel de Araújo,Mayor of Quelimane
Quezon City,Philippines,Q1475,Maria Josefina G. Belmonte,Mayor of Quezon City
Quito,Ecuador,Q2900,Santiago Guarderas Izquierdo,Mayor of Quito
Municipality of Rahovec,Kosovo,Q733155,Smajl Latifi,Mayor of the Municipality of Rahovec
Reykjavík,Iceland,Q1764,Dagur B. Eggertsson,Mayor of Reykjavík
City of Rijeka,Croatia,Q1647,Marko Filipović,Mayor of the City of Rijeka
